"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"4";"0.1uF";"CAP0603-CAP";"0603-CAP";"C3, C4, C5, C6";"Capacitor";"";"";
"1";"100uF";"CAP_POL3528-KIT";"EIA3528-KIT";"C7";"Capacitor Polarized";"";"";
"1";"1N5819-B";"1N5819-B";"DO41-7.6";"D1";"1.0A SCHOTTKY BARRIER RECTIFIER";"";"";
"4";"1k";"RESISTOR0603-RES";"0603-RES";"R3, R5, R14, R15";"Resistor";"";"";
"1";"22R";"RESISTOR0603-RES";"0603-RES";"R4";"Resistor";"";"";
"2";"22pF";"CAP0603-CAP";"0603-CAP";"C2, C8";"Capacitor";"";"";
"1";"22uH";"INDUCTOR0603";"0603";"L1";"Inductors";"";"";
"1";"47uF";"CAP_POL3528-KIT";"EIA3528-KIT";"C1";"Capacitor Polarized";"";"";
"1";"5R";"RESISTOR0603-RES";"0603-RES";"R1";"Resistor";"";"";
"1";"8MHz";"CRYSTALSMD";"HC49UP";"Y1";"Various standard crystals. Proven footprints. Spark Fun Electronics SKU : COM-00534";"";"";
"1";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"U1";"32-Pin Atmega328 part";"IC-09069";"ATMEGA328P";
"1";"AVR_SPI_PRG_6NS";"AVR_SPI_PRG_6NS";"2X3-NS";"J1";"AVR ISP 6 Pin";"";"";
"1";"BL8530";"TRANSISTOR_NPNSOT89";"SOT89";"Q2";"Transistor NPN";"";"";
"1";"Button McButtonface";"TAC_SWITCHPTH";"TACTILE-PTH";"S1";"Momentary Switch";"";"";
"1";"Green";"LED0603";"LED-0603";"BLINKY";"LEDs";"";"";
"1";"JD-T1800";"JD-T1800";"JD-T1800";"LCD2";"";"";"";
"2";"M02POGO_PIN_HOLES_ONLY";"M02POGO_PIN_HOLES_ONLY";"1X02_PP_HOLES_ONLY";"9V_BATT, POWSWITCH";"Standard 2-pin 0.1" header. Use with";"";"";
"1";"MICRO-SD-SOCKET-SMD1:1";"MICRO-SD-SOCKET-SMD1:1";"MICRO-SD-SOCKET-SMD-1:1";"U2";"This footprint was created for a Transflash TF micro SD card socket purchased from eBay in Feb 2018.";"";"";
"1";"MMBT2222A";"TRANSISTOR_NPNMMBT2222A";"SOT23-3";"Q1";"Generic NPN BJT";"TRANS-08049";"MMBT2222A";
